id,genre_id,movie_id
240,15,137
241,19,138
242,16,138
243,7,138
244,19,139
245,19,140
246,18,140
247,7,140
248,4,141
249,1,142
250,5,142
251,4,143
252,13,143
253,7,143
254,18,144
255,6,144
256,7,144
257,1,145
258,1,146
259,1,147
260,19,148
261,4,149
262,19,149
263,18,150
264,19,151
265,19,152
266,14,152
267,1,153
268,5,153
269,29,154
270,4,155
271,16,156
272,19,156
273,1,156
274,1,157
275,1,158
276,15,159
277,6,159
278,12,159
279,1,160
280,1,161
281,1,162
282,2,162
283,19,163
284,4,163
285,7,163
286,15,164
287,5,164
288,10,165
289,4,166
290,16,166
291,7,166
292,4,167
293,16,167
294,7,167
295,1,168
296,5,168
297,4,169
298,2,169
299,7,169
300,1,170
301,5,170
302,18,170
303,5,171
304,1,172
305,1,173
306,18,174
307,2,174
308,19,174
309,1,175
310,1,176
311,7,176
312,1,177
313,15,178
314,14,179
315,1,179
316,29,180
317,11,181
318,4,181
319,5,182
320,1,183
321,4,183
322,7,184
323,4,185
324,7,185
325,15,186
326,6,186
327,11,186
328,4,187
329,7,187
330,11,188
331,1,188
332,4,188
333,18,188
334,7,188
335,10,189
336,7,190
337,10,191
338,7,192
339,19,193
340,7,193
341,7,194
342,6,195
343,13,195
344,19,195
345,18,196
346,7,196
347,15,197
348,6,197
349,11,198
350,1,198
351,10,199
352,1,200
353,2,200
354,5,200
355,19,201
356,7,201
357,4,202
358,19,202
359,7,202
360,15,203
361,11,204
362,19,204
363,19,205
364,16,206
365,1,206
366,7,206
367,2,207
368,13,207
369,18,207
370,4,208
371,7,208
372,11,209
373,7,209
374,13,209
375,4,209
376,1,210
377,17,210
378,15,211
379,11,211
380,12,211
381,15,212
382,2,212
383,14,213
384,1,213
385,1,214
386,19,215
387,16,215
388,7,216
389,1,217
390,1,218
391,5,218
392,7,219
393,1,220
394,10,221
395,19,222
396,18,222
397,8,223
398,7,223
399,1,224
400,5,224
401,5,225
402,19,226
403,16,226
404,1,226
405,1,227
406,19,228
407,15,229
408,6,229
409,1,230
410,13,230
411,10,231
412,5,232
413,15,233
414,4,234
415,7,234
416,1,235
417,4,236
418,7,236
419,1,237
420,5,237
421,7,238
422,4,238
423,1,239
424,11,239
425,5,239
426,5,240
427,1,241
428,5,241
429,10,242
430,10,243
431,13,244
432,7,245
433,10,246
434,11,247
435,1,248
436,19,249
437,19,250
438,6,250
439,16,250
440,4,251
441,4,252
442,11,252
443,19,253
444,1,254
445,5,255
446,11,256
447,18,256
448,11,257
449,19,258
450,4,258
451,7,258
452,19,259
453,1,259
454,2,259
455,17,260
456,19,261
457,7,261
458,18,262
459,7,262
460,10,263
461,1,264
462,1,265
463,1,266
464,19,267
465,16,267
466,19,268
467,7,268
468,11,269
469,5,269
470,4,270
471,7,270
472,19,271
473,16,271
474,1,272
475,1,273
476,1,274
477,10,275
478,19,276
479,10,277
480,7,278
481,18,279
482,1,279
483,11,280
484,1,281
485,14,281
486,2,282
487,5,282
488,19,282
489,1,283
490,2,284
491,5,285
492,1,285
493,19,286
494,7,286
495,4,287
496,7,287
497,1,288
498,19,288
499,11,288
500,1,289
501,12,289
502,13,290
503,4,290
504,4,291
505,13,291
506,4,292
507,13,292
508,7,292
509,11,293
510,1,293
511,1,294
512,12,294
513,19,295
514,18,296
515,19,296
516,7,297
517,10,298
518,1,299
519,7,299
520,1,300
521,1,301
522,16,301
523,11,301
524,5,302
525,15,303
526,4,304
527,7,304
528,1,305
529,16,305
530,13,305
531,19,306
532,11,306
